965632,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-06-21,,0:25,https://xeno-canto.org/965632
965380,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-06-21,,0:20,https://xeno-canto.org/965380
964621,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-04-28,,0:15,https://xeno-canto.org/964621
964571,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-05-29,,0:24,https://xeno-canto.org/964571
963751,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-05-03,,0:23,https://xeno-canto.org/963751
892047,AudioMoth 1.2.0,Eurasian Woodcock,Germany,2024-03-14,,0:24,https://xeno-canto.org/892047
892046,AudioMoth 1.2.0,Eurasian Woodcock,Germany,2024-03-14,,0:20,https://xeno-canto.org/892046
1025017,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2025-03-27,,0:07,https://xeno-canto.org/1025017
1025015,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2025-03-20,,0:04,https://xeno-canto.org/1025015
1025013,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2025-03-19,,0:13,https://xeno-canto.org/1025013
965534,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-06-05,,0:19,https://xeno-canto.org/965534
963817,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-04-28,,0:19,https://xeno-canto.org/963817
963749,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-05-03,,0:18,https://xeno-canto.org/963749
963747,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-05-02,,0:16,https://xeno-canto.org/963747
963746,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-04-30,,0:19,https://xeno-canto.org/963746
963744,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-04-29,,0:18,https://xeno-canto.org/963744
892052,AudioMoth 1.2.0,Eurasian Woodcock,Germany,2024-03-18,,0:21,https://xeno-canto.org/892052
892050,AudioMoth 1.2.0,Eurasian Woodcock,Germany,2024-03-15,,0:13,https://xeno-canto.org/892050
965062,Audiomoth 1.2.0,Eurasian Woodcock,Germany,2024-05-29,,0:19,https://xeno-canto.org/965062
892058,AudioMoth 1.2.0,Eurasian Woodcock,Germany,2024-03-25,,0:15,https://xeno-canto.org/892058
892053,AudioMoth 1.2.0,Eurasian Woodcock,Germany,2024-03-18,,0:11,https://xeno-canto.org/892053
892048,AudioMoth 1.2.0,Eurasian Woodcock,Germany,2024-03-14,,0:15,https://xeno-canto.org/892048
